 time             v(vi)            v(vo)           
 5.590000000e-08  1.186307880e-01  1.248296677e-01 
 5.790000000e-08  4.925188097e-01  3.700386902e-01 
 5.990000000e-08  1.892214019e-01  3.689193378e-01 
 6.190000000e-08  2.755940570e-01  1.257118726e-01 
 6.390000000e-08  4.478139835e-01  4.958353973e-01 
 6.590000000e-08  1.000897364e-01  1.770442327e-01 
 6.790000000e-08  4.555511974e-01  2.906546112e-01 
 6.990000000e-08  2.638627312e-01  4.373655654e-01 
 7.190000000e-08  1.992895418e-01  1.012636560e-01 
 1.900000000e-09  4.193112540e-01  4.990678849e-01 
 3.900000000e-09  1.177796567e-01  1.340309557e-01 
 5.900000000e-09  4.993271316e-01  3.908851039e-01 
 7.900000000e-09  1.336566139e-01  3.069343736e-01 
 9.900000000e-09  3.915628669e-01  1.972635032e-01 
 1.190000000e-08  3.062358414e-01  4.732375047e-01 
 1.390000000e-08  1.975314360e-01  1.001966373e-01 
 1.590000000e-08  4.729382887e-01  4.761743784e-01 
 1.790000000e-08  1.000422457e-01  1.914542059e-01 
 1.990000000e-08  4.767262982e-01  3.134546797e-01 
 2.190000000e-08  1.909253022e-01  3.852249413e-01 
 2.390000000e-08  3.140199259e-01  1.380271931e-01 
 2.590000000e-08  3.845597628e-01  4.984619739e-01 
 2.790000000e-08  1.381043348e-01  1.150097134e-01 
 2.990000000e-08  4.985371241e-01  4.248009217e-01 
 3.190000000e-08  1.147116324e-01  2.665296963e-01 
 3.390000000e-08  4.254803130e-01  2.338311798e-01 
 3.590000000e-08  2.658702429e-01  4.496349213e-01 
 3.790000000e-08  2.342053298e-01  1.050011197e-01 
 3.990000000e-08  4.491781804e-01  4.915330243e-01 
 4.190000000e-08  1.049172244e-01  1.598648171e-01 
 4.390000000e-08  4.919595195e-01  3.532582145e-01 
 4.590000000e-08  1.594149624e-01  3.470434487e-01 
 4.790000000e-08  3.538942380e-01  1.648867084e-01 
 4.990000000e-08  3.463469481e-01  4.897357861e-01 
 5.190000000e-08  1.650537148e-01  1.035770511e-01 
 5.390000000e-08  4.896220163e-01  4.536229802e-01 
 5.590000000e-08  1.033484555e-01  2.275020856e-01 
 5.790000000e-08  4.542626913e-01  2.730968430e-01 
 5.990000000e-08  2.269004582e-01  4.198899671e-01 
 6.190000000e-08  2.735716564e-01  1.177876597e-01 
 6.390000000e-08  4.193129151e-01  4.990661613e-01 
 6.590000000e-08  1.177786954e-01  1.340309351e-01 
 6.790000000e-08  4.993269268e-01  3.908850000e-01 
 6.990000000e-08  1.336577719e-01  3.069296781e-01 
 7.190000000e-08  3.915627856e-01  1.972636208e-01 
 1.900000000e-09  3.864017403e-01  4.997038993e-01 
 3.900000000e-09  1.635589809e-01  1.076143473e-01 
 5.900000000e-09  4.739536200e-01  4.671457460e-01 
 7.900000000e-09  1.044795461e-01  1.730135857e-01 
 9.900000000e-09  4.991489623e-01  3.748306838e-01 
 1.190000000e-08  1.154866602e-01  2.840744118e-01 
 1.390000000e-08  4.529582417e-01  2.557534938e-01 
 1.590000000e-08  1.926384147e-01  4.008453873e-01 
 1.790000000e-08  3.519285667e-01  1.524517141e-01 
 1.990000000e-08  3.082732484e-01  4.813289397e-01 
 2.190000000e-08  2.322836705e-01  1.019331303e-01 
