 time            v(vop,vom)     
 2.02500000e-06  1.08793667e-02 
 2.12500000e-06 -4.96085188e-02 
 2.22500000e-06  8.64368753e-02 
 2.32500000e-06 -1.19997472e-01 
 2.42500000e-06  1.48857145e-01 
 2.52500000e-06 -1.72119892e-01 
 2.62500000e-06  1.88529792e-01 
 2.72500000e-06 -1.97591393e-01 
 2.82500000e-06  1.99677245e-01 
 2.92500000e-06 -1.93518230e-01 
 3.02500000e-06  1.80157064e-01 
 3.12500000e-06 -1.59890848e-01 
 3.22500000e-06  1.33372565e-01 
 3.32500000e-06 -1.01804974e-01 
 3.42500000e-06  6.63065712e-02 
 3.50000000e-06  1.77174895e-01 
